codigo_ies_padre,ies,ano,tasa,tipo,categoria,nivel_de_formacion,tasa_lag1,tasa_lag2,tasa_lag3,rolling_mean_3,rolling_std_3,tasa_predicha
3803.0,CORPORACION UNIVERSITARIA CENTRO SUPERIOR - UNICUCES,2013,16.26,TDA,IES Padre Nivel Formacin,TyT,23.58,24.4,23.49,13.51,11.7704,21.176622
3803.0,CORPORACION UNIVERSITARIA CENTRO SUPERIOR - UNICUCES,2013,8.2,TDA,IES Padre Nivel Formacin,Universitario,15.73,18.18,5.41,18.5633,4.3567,15.752443
3805.0,INSTITUTO DE EDUCACION EMPRESARIAL-IDEE-,2013,17.24,TDA,IES Padre Nivel Formacin,TyT,17.65,7.41,56.9,18.9867,4.0921,22.410435
3806.0,CORPORACION ESCUELA SUPERIOR DE ADMINISTRACION Y ESTUDIOS TECNOLOGICOS- EAE,2013,69.92,TDA,IES Padre Nivel Formacin,TyT,36.19,37.34,39.88,23.19,11.2992,35.13639
3808.0,CORPORACION TECNOLOGICA DE BOGOTA - CTB - ,2013,19.62,TDA,IES Padre Nivel Formacin,TyT,21.67,20.19,18.83,25.17,9.753,20.612026
3809.0,INSTITUTO SUPERIOR DE CIENCIAS SOCIALES Y ECONOMICO FAMILIARES-ICSEF-,2013,27.33,TDA,IES Padre Nivel Formacin,TyT,22.31,30.53,37.7,26.7233,8.2046,25.541216
3204.0,TECNOLOGICO DE ANTIOQUIA,2013,12.5,TDA,IES Padre Nivel Formacin,TyT,8.16,13.03,12.36,17.38,7.9912,11.259372
3204.0,TECNOLOGICO DE ANTIOQUIA,2013,7.17,TDA,IES Padre Nivel Formacin,Universitario,3.86,5.84,5.31,11.4433,9.6533,4.555008
3301.0,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,2013,13.07,TDA,IES Padre Nivel Formacin,TyT,17.66,20.42,20.7,9.8933,7.0614,17.88304
3301.0,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,2013,15.38,TDA,IES Padre Nivel Formacin,Universitario,19.92,0.0,0.0,13.8133,8.6936,16.2564
